"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"Su";"Su"
"Mo";"Mo"
"Tu";"Tu"
"We";"We"
"Th";"Th"
"Fr";"Fr"
"Sa";"Sa"

"Edit Entry";"Edit Entry"
"Delete Entry";"Delete Entry"
"Posted by";"Posted by"
"about";"about"
"You do not have any experience entries that match your search criteria.";"You do not have any experience entries that match your search criteria."
"You do not have any experience entries.";"You do not have any experience entries."
"Get started by %1$swriting%2$s a new entry.";"Get started by %1$swriting%2$s a new entry."
"Write New Entry";"Write New Entry"
"Compose your new experience entry below, then click ""Post Entry"" to publish the entry to your experience.";"Compose your new experience entry below, then click ""Post Entry"" to publish the entry to your experience."
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Category";"Category"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Show this experience entry in search results";"Show this experience entry in search results"
"View Privacy";"View Privacy"
"Who may see this experience entry?";"Who may see this experience entry?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this experience entry?";"Who may post comments on this experience entry?"
"Post Entry";"Post Entry"
"Search Experiences";"Search Experiences"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Show";"Show"
"All Entries";"All Entries"
"Only Published";"Only Published"
"Only Drafts";"Only Drafts"
"Everyone\'s Experiences";"Everyone\'s Experiences"
"Only My Friends\' Experiences";"Only My Friends\' Experiences"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Everyone";"Everyone"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Experiences";"Experiences"
"My Entries";"My Entries"
"Browse Entries";"Browse Entries"
"Edit Experience Style";"Edit Experience Style"
"Only Approved";"Only Approved"
"Only Approving";"Only Approving"
"approving";"approving"
"approved";"approved"
"draft";"draft"
"Edit Experience Entry";"Edit Experience Entry"
"Edit your entry below, then click ""Post Entry"" to publish the entry on your experience.";"Edit your entry below, then click ""Post Entry"" to publish the entry on your experience."
"Save Changes";"Save Changes"
"Your changes have been saved.";"Your changes have been saved."
"Advanced Experiences Browse Page";"Advanced Experiences Browse Page"
"Experience entry doesn't exist or not authorized to delete.";"Experience entry doesn't exist or not authorized to delete."
"Invalid request method.";"Invalid request method."
"Your experience entry has been deleted.";"Your experience entry has been deleted."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this experience entry?";"Are you sure you want to delete this experience entry?"
"cancel";"cancel"
" or ";" or "
"Experience Styles";"Experience Styles"
"Custom Experience Styles";" Custom Experience Styles"
"_EXPERIENCE_FORM_STYLE_DESCRIPTION";" You can change the colors, fonts, and styles of your experience by adding CSS code below. The contents of the text area below will be output between <style> tags on your experience."
"Categories";"Categories"
"'s Entries";"'s Entries"
"by";"by"
"%s comment";"%s comment";"%s comments"
"%1$s has not published a experience entry with that criteria.";"%1$s has not published a experience entry with that criteria."
"%1$s has not written a experience entry yet.";"%1$s has not written a experience entry yet."
"AddThis Settings";"AddThis Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Username";"Username"
"Password";"Password"
"Insert your Addthis account username";"Insert your Addthis account username"
"Insert your Addthis account password";"Insert your Addthis account password"
"Profile ID";"Profile ID"
"Domain";"Domain"
"Insert your domain";"Insert your domain"
"Period";"Period"
"Member Level Settings";"Member Level Settings"
"EXPERIENCE_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Experiences?";"Allow Viewing of Experiences?"
"Do you want to let members view experiences? If set to no, some other settings on this page may not apply.";"Do you want to let members view experiences? If set to no, some other settings on this page may not apply."
"Yes, allow viewing of all experiences, even private ones.";"Yes, allow viewing of all experiences, even private ones."
"Yes, allow viewing of experiences.";"Yes, allow viewing of experiences."
"No, do not allow experiences to be viewed.";"No, do not allow experiences to be viewed."
"Allow Creation of Experiences?";"Allow Creation of Experiences?"
"Do you want to let members create experiences? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view experiences, but only want certain levels to be able to create experiences.";"Do you want to let members create experiences? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view experiences, but only want certain levels to be able to create experiences."
"Yes, allow creation of experiences.";"Yes, allow creation of experiences."
"No, do not allow experiences to be created.";"No, do not allow experiences to be created."
"Allow Editing of Experiences?";"Allow Editing of Experiences?"
"Do you want to let members edit experiences? If set to no, some other settings on this page may not apply.";"Do you want to let members edit experiences? If set to no, some other settings on this page may not apply."
"Yes, allow members to edit all experiences.";"Yes, allow members to edit all experiences."
"Yes, allow members to edit their own experiences.";"Yes, allow members to edit their own experiences."
"No, do not allow members to edit their experiences.";"No, do not allow members to edit their experiences."
"Allow Deletion of Experiences?";"Allow Deletion of Experiences?"
"Do you want to let members delete experiences? If set to no, some other settings on this page may not apply.";"Do you want to let members delete experiences? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete all experiences.";"Yes, allow members to delete all experiences."
"Yes, allow members to delete their own experiences.";"Yes, allow members to delete their own experiences."
"No, do not allow members to delete their experiences.";"No, do not allow members to delete their experiences."
"Allow Commenting on Experiences?";"Allow Commenting on Experiences?"
"Do you want to let members of this level comment on experiences?";"Do you want to let members of this level comment on experiences?"
"Yes, allow members to comment on all experiences, including private ones.";"Yes, allow members to comment on all experiences, including private ones."
"Yes, allow members to comment on experiences.";"Yes, allow members to comment on experiences."
"No, do not allow members to comment on experiences.";"No, do not allow members to comment on experiences."
"Experience Entry Privacy";"Experience Entry Privacy"
"Your members can choose from any of the options checked below when they decide who can see their experience entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view experiences.";"Your members can choose from any of the options checked below when they decide who can see their experience entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view experiences."
"Experience Comment Options";"Experience Comment Options"
"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries.";"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries."
"Allow Custom CSS Styles?";"Allow Custom CSS Styles?"
"If you enable this feature, your members will be able to customize the colors and fonts of their experiences by altering their CSS styles.";"If you enable this feature, your members will be able to customize the colors and fonts of their experiences by altering their CSS styles."
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"HTML in Experience Entries?";"HTML in Experience Entries?"
"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr";"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr"
"Maximum Allowed Experience Entries?";"Maximum Allowed Experience Entries?"
"Enter the maximum number of allowed experience entries. The field must contain an integer between 1 and 999, or 0 for unlimited.";"Enter the maximum number of allowed experience entries. The field must contain an integer between 1 and 999, or 0 for unlimited."
"You are already subscribed to this member's experience.";"You are already subscribed to this member's experience."
"Subscribe?";"Subscribe?"
"Would you like to subscribe to this member's experience?";"Would you like to subscribe to this member's experience?"
"Subscribe";"Subscribe"
"You are now subscribed to this member's experience.";"You are now subscribed to this member's experience."
"You are already not subscribed to this member's experience.";"You are already not subscribed to this member's experience."
"Unsubscribe?";"Unsubscribe?"
"Would you like to unsubscribe from this member's experience?";"Would you like to unsubscribe from this member's experience?"
"Unsubscribe";"Unsubscribe"
"You are no longer subscribed to this member's experience.";"You are no longer subscribed to this member's experience."
"Share";"Share"
"Edit This Entry";"Edit This Entry"
"View All Entries";"View All Entries"
"Report";"Report"
"Delete This Entry";"Delete This Entry"
"The category was deleted successfully.";"The category was deleted successfully."
"The category was added successfully.";"The category was added successfully."
"The category was modified successfully.";"The category was modified successfully."
"No identifier specified";"No identifier specified"
"Advanced Experiences Plugin";"Advanced Experiences Plugin"
"Delete Experience?";"Delete Experience?"
"Are you sure that you want to delete this experience entry? It will not be recoverable after being deleted.";"Are you sure that you want to delete this experience entry? It will not be recoverable after being deleted."
"Delete";"Delete"
"Delete the selected experience(s)?";"Delete the selected experience(s)?"
"Are you sure that you want to delete the %d experience(s)? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d experience(s)? It will not be recoverable after being deleted."
"Please select a experience to delete.";"Please select a experience to delete."
"Go Back";"Go Back"
"Member Level";"Member Level"
"Experience Entry Categories";"Experience Entry Categories"
