"ULTIMATENEWS Plugin";"ULTIMATENEWS Plugin"
"ULTIMATENEWS_FORM_ADMIN_CREATE_DESCRIPTION";"@This form config to get data from remote servers"
"ULTIMATENEWS_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"MUNITE_DESCRIPTION";"(Value is 00 � 59. exact minute the cron executes)"
"_ACTIVITY_ACTIONTYPE_COMMENT_ULTIMATENEWS";"Comments on ULTIMATENEWS entry"
"_ACTIVITY_ACTIONTYPE_ULTIMATENEWS_CONTENT";"Content on ULTIMATENEWS entry"
"_ACTIVITY_ACTIONTYPE_COMMENT_ULTIMATENEWS_CONTENT";"Comments on ULTIMATENEWS entry"
"_ACTIVITY_ACTIONTYPE_SUBSCRIBE_NEW_NEW";"When you have an update from RSS name"
"ADMIN_ACTIVITY_TYPE_SUBSCRIBE_NEW_NEW";"When a user (subject) subscribes a feed"
"ADMIN_ACTIVITY_TYPE_COMMENT_ULTIMATENEWS_CONTENT";"When a user (subject) comments on a news content."
"ACTIVITY_TYPE_LIKE_ULTIMATENEWS";"When someone likes something I have posted on ULTIMATENEWS."
"ACTIVITY_TYPE_LIKED_ULTIMATENEWS";"When someone likes something I liked on ULTIMATENEWS."
"ITEM_TYPE_ULTIMATENEWS_CONTENT";"ULTIMATENEWS Content"
"Are you sure you want to delete the selected news?";"Are you sure you want to delete the selected news?"
"Ultimate News";"Ultimate News"
"Browse News";"Browse News"
"News Management";"News Management"
"Posted Date";"Posted Date"
"Featured";"Featured"
"Set Featured";"Set Featured"
"Unset Featured";"Unset Featured"
"Unsubscribe";"Unsubscribe"
"There are no news got from remote servers.";"There are no news got from remote servers."
"Please select a feed!";"Please select a feed!"
"Please select a category!";"Please select a category!"
"Error occurs when delete the category!";"Error occurs when delete the category!"
"Error occurs when delete the feed!";"Error occurs when delete the feed!"
"Delete successfully.";"Delete successfully."
"Update status successfully.";"Update status successfully."
"Other";"Other"
"Original Link";"Original Link"
"report";"report"
"Featured News";"Featured News"
"Categories";"Categories"
"Recent News";"Recent News"
"Search";"Search"
"Category";"Category"
"All Categories";"All Categories"
"Feed";"Feed"
"All Feeds";"All Feeds"
"Please choose the feed";"Please choose the feed"
"Start Date";"Start Date"
"End Date";"End Date"
"Top News";"Top News"
"Posted";"Posted"
"View more";"View more"
"Most Commented News";"Most Commented News"
"Most Liked News";"Most Liked News"
"Comments";"Comments"
"Views";"Views"
"No news with that criteria";"No news with that criteria"
"No news";"No news"
"Title";"Title"
"ID";"ID"
"Options";"Options"
"edit";"edit"
"view";"view"
"Delete Selected";"Delete Selected"
"Yes";"Yes"
"No";"No"
"You don't choose any news to delete";"You don't choose any news to delete"
"You have not subscribed RSS yet.";"You have not subscribed RSS yet."
"Please select a news!";"Please select a news!"
"There are no news got from remote servers.";"There are no news got from remote servers."
"Feed Management";"Feed Management"
"Add Feed";"Add Feed"
"Category Management";"Category Management"
"User Settings";"User Settings"
"Feed Name";"Feed Name"
"Feed URL";"Feed URL"
"Date";"Date"
"Status";"Status"
Subscribe;Subscribe
"Logo";"Logo"
"Active Selected";"Active Selected"
"Inactive Selected";"Inactive Selected"
"Get Data";"Get Data"
"Active";"Active"
"Inactive";"Inactive"
"This form is used for configuration settings to get data from remote servers";"This form is used for configuration settings to get data from remote servers"
"Logo of RSS Provider";"Logo of RSS Provider"
"Or Upload Logo From Your Computer(gif,png)";"Or Upload Logo From Your Computer(gif,png)"
"Active RSS?";"Active RSS?"
"Display Mini Logo?";"Display Mini Logo?"
"Display logo?";"Display logo?"
"Save";"Save"
"Category Name";"Category Name"
"Category Description";"Category Description"
"Active Category?";"Active Category?"
"Save Category";"Save Category"
"Name";"Name"
"Description";"Description"
"Total Feed";"Total Feed"
"Username";"Username"
"There are no users set by admin yet.";"There are no users set by admin yet."
"Add User";"Add User"
"Ultimate News Plugin";"Ultimate News Plugin"
"Number of articles per getting feeds is invalid";"Number of articles per getting feeds is invalid"
"Number of days for removing the old news is invalid";"Number of days for removing the old news is invalid"
"{item:$subject} commented on {item:$object:news}: {body:$body}";"{item:$subject} commented on {item:$object:news}: {body:$body}"
"{item:$subject} has an update from {item:$object}";"{item:$subject} has an update from {item:$object}"
"Your changes have been saved.";"Your changes have been saved."
"Your RSS Subscription";"Your RSS Subscription"
"Add news successfully.";"Add news successfully."
"Add News";"Add News"
"News Information";"News Information"
"Thumbnail";"Thumbnail"
"Original Link";"Original Link"
"Content";"Content"
"News thumbnail (jpg, png, gif, jpeg)";"News thumbnail (jpg, png, gif, jpeg)"
"There are no feeds posted by your members yet.";"There are no feeds posted by your members yet."
"This news is not existed!";"This news is not existed!"
"Number to display limited characters must be a valid integer";"Number to display limited characters must be a valid integer"
"Number to display limited characters is too big. Please set 0 for unlimited";"Number to display limited characters is too big. Please set 0 for unlimited"
"Please choose the feed";"Please choose the feed!"
"No news to display";"No news to display"
"You have just unsubscribed this RSS feed successfully.";"You have just unsubscribed this RSS feed successfully."
"You have just subscribed this RSS feed successfully.";"You have just subscribed this RSS feed successfully."
"Your RSS Subscription";"Your RSS Subscription"
"You have not subscribed RSS yet.";"You have not subscribed RSS yet."
"Subscribe";"Subscribe"
"Unsubscribe";"Unsubscribe"
"Read On:";"Read On:"
"Favourite";"Favourite"
"Unfavourite";"Unfavourite"
"My Favourite News";"My Favourite News"
"Manage Feeds";"Manage Feeds"
"My Feeds";"My Feeds"
"Add Feed";"Add Feed"
"Manage News";"Manage News"
"My News";"My News"
"Add News";"Add News"
"There are no news items.";"There are no news items."
"My Favorite News";"My Favourite News"
"My RSS Subscription";"My RSS Subscription"
"Posted date";"Posted date"
"Report";"Report"
"Tags: ";"Tags: "
"Approve Selected";"Approve Selected"
"Deny Selected";"Deny Selected"
"Remove News";"Remove News"
"Actived";"Actived"
"Denied";"Denied"
"Pending";"Pending"
"Inactived";"Inactived"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Getting full feed content";"Getting full feed content"
"Enabling this option will get full news content in details";"Enabling this option will get full news content in details"
"Yes, allow getting full news content";"Yes, allow getting full news content"
"No, only get the feed content";"No, only get the feed content"
"Number to display limited characters";"Number to display limited characters"
"Set 0 for unlimited characters";"Set 0 for unlimited characters"
"cancel";"cancel"
"or";"or"
"Add RSS Feed";"Add RSS Feed"
"Approved";"Approved"
"Approve";"Approve"
"Deny";"Deny"
"Unfavorite successfully.";"Unfavorite successfully."
