"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"Su";"Su"
"Mo";"Mo"
"Tu";"Tu"
"We";"We"
"Th";"Th"
"Fr";"Fr"
"Sa";"Sa"

"Edit Entry";"Edit Entry"
"Delete Entry";"Delete Entry"
"Posted by";"Posted by"
"about";"about"
"You do not have any blog entries that match your search criteria.";"You do not have any blog entries that match your search criteria."
"You do not have any blog entries.";"You do not have any blog entries."
"Get started by %1$swriting%2$s a new entry.";"Get started by %1$swriting%2$s a new entry."
"Write New Entry";"Write New Entry"
"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to your blog.";"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to your blog."
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Category";"Category"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Show this blog entry in search results";"Show this blog entry in search results"
"View Privacy";"View Privacy"
"Who may see this blog entry?";"Who may see this blog entry?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this blog entry?";"Who may post comments on this blog entry?"
"Post Entry";"Post Entry"
"Search Blogs";"Search Blogs"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Show";"Show"
"All Entries";"All Entries"
"Only Published";"Only Published"
"Only Drafts";"Only Drafts"
"Everyone\'s Blogs";"Everyone\'s Blogs"
"Only My Friends\' Blogs";"Only My Friends\' Blogs"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Everyone";"Everyone"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Blogs";"Blogs"
"My Entries";"My Entries"
"Browse Entries";"Browse Entries"
"Edit Blog Style";"Edit Blog Style"
"Only Approved";"Only Approved"
"Only Approving";"Only Approving"
"approving";"approving"
"approved";"approved"
"draft";"draft"
"Edit Blog Entry";"Edit Blog Entry"
"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog.";"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog."
"Save Changes";"Save Changes"
"Your changes have been saved.";"Your changes have been saved."
"Advanced Blogs Browse Page";"Advanced Blogs Browse Page"
"Blog entry doesn't exist or not authorized to delete.";"Blog entry doesn't exist or not authorized to delete."
"Invalid request method.";"Invalid request method."
"Your blog entry has been deleted.";"Your blog entry has been deleted."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this blog entry?";"Are you sure you want to delete this blog entry?"
"cancel";"cancel"
" or ";" or "
"Blog Styles";"Blog Styles"
"Custom Blog Styles";" Custom Blog Styles"
"_BLOG_FORM_STYLE_DESCRIPTION";" You can change the colors, fonts, and styles of your blog by adding CSS code below. The contents of the text area below will be output between <style> tags on your blog."
"Categories";"Categories"
"'s Entries";"'s Entries"
"by";"by"
"%s comment";"%s comment";"%s comments"
"%1$s has not published a blog entry with that criteria.";"%1$s has not published a blog entry with that criteria."
"%1$s has not written a blog entry yet.";"%1$s has not written a blog entry yet."
"AddThis Settings";"AddThis Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Username";"Username"
"Password";"Password"
"Insert your Addthis account username";"Insert your Addthis account username"
"Insert your Addthis account password";"Insert your Addthis account password"
"Profile ID";"Profile ID"
"Domain";"Domain"
"Insert your domain";"Insert your domain"
"Period";"Period"
"Member Level Settings";"Member Level Settings"
"BLOG_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Blogs?";"Allow Viewing of Blogs?"
"Do you want to let members view blogs? If set to no, some other settings on this page may not apply.";"Do you want to let members view blogs? If set to no, some other settings on this page may not apply."
"Yes, allow viewing of all blogs, even private ones.";"Yes, allow viewing of all blogs, even private ones."
"Yes, allow viewing of blogs.";"Yes, allow viewing of blogs."
"No, do not allow blogs to be viewed.";"No, do not allow blogs to be viewed."
"Allow Creation of Blogs?";"Allow Creation of Blogs?"
"Do you want to let members create blogs? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view blogs, but only want certain levels to be able to create blogs.";"Do you want to let members create blogs? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view blogs, but only want certain levels to be able to create blogs."
"Yes, allow creation of blogs.";"Yes, allow creation of blogs."
"No, do not allow blogs to be created.";"No, do not allow blogs to be created."
"Allow Editing of Blogs?";"Allow Editing of Blogs?"
"Do you want to let members edit blogs? If set to no, some other settings on this page may not apply.";"Do you want to let members edit blogs? If set to no, some other settings on this page may not apply."
"Yes, allow members to edit all blogs.";"Yes, allow members to edit all blogs."
"Yes, allow members to edit their own blogs.";"Yes, allow members to edit their own blogs."
"No, do not allow members to edit their blogs.";"No, do not allow members to edit their blogs."
"Allow Deletion of Blogs?";"Allow Deletion of Blogs?"
"Do you want to let members delete blogs? If set to no, some other settings on this page may not apply.";"Do you want to let members delete blogs? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete all blogs.";"Yes, allow members to delete all blogs."
"Yes, allow members to delete their own blogs.";"Yes, allow members to delete their own blogs."
"No, do not allow members to delete their blogs.";"No, do not allow members to delete their blogs."
"Allow Commenting on Blogs?";"Allow Commenting on Blogs?"
"Do you want to let members of this level comment on blogs?";"Do you want to let members of this level comment on blogs?"
"Yes, allow members to comment on all blogs, including private ones.";"Yes, allow members to comment on all blogs, including private ones."
"Yes, allow members to comment on blogs.";"Yes, allow members to comment on blogs."
"No, do not allow members to comment on blogs.";"No, do not allow members to comment on blogs."
"Blog Entry Privacy";"Blog Entry Privacy"
"Your members can choose from any of the options checked below when they decide who can see their blog entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view blogs.";"Your members can choose from any of the options checked below when they decide who can see their blog entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view blogs."
"Blog Comment Options";"Blog Comment Options"
"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries.";"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries."
"Allow Custom CSS Styles?";"Allow Custom CSS Styles?"
"If you enable this feature, your members will be able to customize the colors and fonts of their blogs by altering their CSS styles.";"If you enable this feature, your members will be able to customize the colors and fonts of their blogs by altering their CSS styles."
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"HTML in Blog Entries?";"HTML in Blog Entries?"
"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr";"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr"
"Maximum Allowed Blog Entries?";"Maximum Allowed Blog Entries?"
"Enter the maximum number of allowed blog entries. The field must contain an integer between 1 and 999, or 0 for unlimited.";"Enter the maximum number of allowed blog entries. The field must contain an integer between 1 and 999, or 0 for unlimited."
"You are already subscribed to this member's blog.";"You are already subscribed to this member's blog."
"Subscribe?";"Subscribe?"
"Would you like to subscribe to this member's blog?";"Would you like to subscribe to this member's blog?"
"Subscribe";"Subscribe"
"You are now subscribed to this member's blog.";"You are now subscribed to this member's blog."
"You are already not subscribed to this member's blog.";"You are already not subscribed to this member's blog."
"Unsubscribe?";"Unsubscribe?"
"Would you like to unsubscribe from this member's blog?";"Would you like to unsubscribe from this member's blog?"
"Unsubscribe";"Unsubscribe"
"You are no longer subscribed to this member's blog.";"You are no longer subscribed to this member's blog."
"Share";"Share"
"Edit This Entry";"Edit This Entry"
"View All Entries";"View All Entries"
"Report";"Report"
"Delete This Entry";"Delete This Entry"
"The category was deleted successfully.";"The category was deleted successfully."
"The category was added successfully.";"The category was added successfully."
"The category was modified successfully.";"The category was modified successfully."
"No identifier specified";"No identifier specified"
"Advanced Blogs Plugin";"Advanced Blogs Plugin"
"Delete Blog?";"Delete Blog?"
"Are you sure that you want to delete this blog entry? It will not be recoverable after being deleted.";"Are you sure that you want to delete this blog entry? It will not be recoverable after being deleted."
"Delete";"Delete"
"Delete the selected blog(s)?";"Delete the selected blog(s)?"
"Are you sure that you want to delete the %d blog(s)? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d blog(s)? It will not be recoverable after being deleted."
"Please select a blog to delete.";"Please select a blog to delete."
"Go Back";"Go Back"
"Member Level";"Member Level"
"Blog Entry Categories";"Blog Entry Categories"
