"January";"Tháng 1"
"February";"Tháng 2"
"March";"Tháng 3"
"April";"Tháng 4"
"May";"Tháng 5"
"June";"Tháng 6"
"July";"Tháng 7"
"August";"Tháng 8"
"September";"Tháng 9"
"October";"Tháng 10"
"November";"Tháng 11"
"Su";"CN"
"Mo";"Hai"
"Tu";"Ba"
"We";"Tư"
"Th";"Năm"
"Fr";"Sáu"
"Sa";"Bảy"

"Edit Entry";"Chỉnh sửa"
"Delete Entry";"Xóa"
"Posted by";"Đăng bởi"
"about";"về"
"You do not have any experience entries that match your search criteria.";"Bạn không có bất cứ bài viết nào phù hợp với yêu cầu tìm kiếm."
"You do not have any experience entries.";"Bạn chưa có bài viết nào."
"Get started by %1$swriting%2$s a new entry.";"Bắt đầu bằng cách %1$sviết%2$s 1 bài mới."
"Write New Entry";"Viết bài mới"
"Compose your new experience entry below, then click ""Post Entry"" to publish the entry to your experience.";"Soạn nội dung bài viết ở dưới, sau đó click ""Đăng bài"" để đăng bài viết của bạn."
"Title";"Tiêu đề"
"Tags (Keywords)";"Tags (Từ khóa)"
"Separate tags with commas.";"Phân cách tags với dấu phẩy."
"Category";"Danh mục"
"Status";"Trạng thái"
"If this entry is published, it cannot be switched back to draft mode.";"Nếu bài viết này đã xuất bản, nó không thể đổi ngược lại thành bản nháp."
"Show this experience entry in search results";"Hiển thị bài viết này trong kết quả tìm kiếm"
"View Privacy";"Xem bảo mật"
"Who may see this experience entry?";"Ai được xem bài viết này?"
"Comment Privacy";"Bảo mật bình luật"
"Who may post comments on this experience entry?";"Ai được đăng bình luận trên bài viết này?"
"Post Entry";"Đăng bài"
"Search Experiences";"Tìm kiếm bài viết"
"Browse By";"Tìm kiếm theo"
"Most Recent";"Gần đây nhất"
"Most Viewed";"Xem nhiều nhất"
"Show";"Hiển thị"
"All Entries";"Tất cả bài viết"
"Only Published";"Chỉ những bài đã xuất bản"
"Only Drafts";"Chỉ những bài nháp"
"Everyone\'s Experiences";"Bài viết của tất cả mọi người"
"Only My Friends\' Experiences";"Chỉ bài viết của bạn bè"
"Published";"Đã xuất bản"
"Saved As Draft";"Lưu thành bản nháp"
"Everyone";"Tất cả mọi người"
"Friends and Networks";"Bạn bè và kết nối"
"Friends of Friends";"Bạn của bạn"
"Friends Only";"Chỉ bạn bè"
"Just Me";"Chỉ tôi"
"Experiences";"Bài viết"
"My Entries";"Bài viết của tôi"
"Browse Entries";"Tìm kiếm bài viết"
"Edit Experience Style";"Định dạng kiểu bài viết"
"Only Approved";"Chỉ những bài đã được duyệt"
"Only Approving";"Chỉ những bài đang duyệt"
"approving";"Đang duyệt"
"approved";"Đã duyệt"
"draft";"Nháp"
"Edit Experience Entry";"Định dạng bài viết"
"Edit your entry below, then click ""Post Entry"" to publish the entry on your experience.";"Tùy chỉnh bài viết của bạn bên dưới, sau đó click ""Đăng bài"" để xuất bản bài viết của bạn."
"Save Changes";"Lưu thay đổi"
"Your changes have been saved.";"Thay đổi của bạn đã được lưu."
"Advanced Experiences Browse Page";"Trang tìm kiếm nâng cao"
"Experience entry doesn't exist or not authorized to delete.";"Bài viết không tồn tại hoặc không có quyền để xóa"
"Invalid request method.";"Cách thức yêu cầu không có giá trị."
"Your experience entry has been deleted.";"Bài viết của bạn đã bị xóa."
"Delete Entry";"Xóa bài viết"
"Are you sure you want to delete this experience entry?";"Bạn có chắc muốn xóa bài viết này?"
"cancel";"hủy"
" or ";" hoặc "
"Experience Styles";"Kiểu bài viết"
"Custom Experience Styles";"Tùy chỉnh kiểu bài viết"
"_EXPERIENCE_FORM_STYLE_DESCRIPTION";" Bạn có thể thay đổi màu sắc, kiểu chữ, và kiểu bài viết bằng cách thêm vào đoạn code CSS bên dưới. Nội dung của đoạn text bên dưới sẽ là kết quả giữa <style> tags trên bài viết của bạn."
"Categories";"Danh mục"
"'s Entries";"'s Bài viết"
"by";"bởi"
"%s comment";"%s bình luận";"%s bình luận"
"%1$s has not published a experience entry with that criteria.";"%1$s vẫn chưa xuất bản bài viết nào theo yêu cầu này."
"%1$s has not written a experience entry yet.";"%1$s vẫn chưa có bài viết nào."
"AddThis Settings";"Thêm cài đặt này"
"These settings affect all members in your community.";"Những thay đổi cài đặt này sẽ ảnh hưởng tất cả các thành viên trong cộng đồng của bạn."
"Username";"Tên đăng nhập"
"Password";"Mật khẩu"
"Insert your Addthis account username";"Chèn thêm tên đăng nhập tài khoản của bạn"
"Insert your Addthis account password";"Chèn thêm mật khẩu tài khoản của bạn"
"Profile ID";"Hồ sơ ID"
"Domain";"Tên miền"
"Insert your domain";"Chèn thêm tên miền của bạn"
"Period";"Giai đoạn"
"Member Level Settings";"Cài đặt cấp độ thành viên"
"EXPERIENCE_FORM_ADMIN_LEVEL_DESCRIPTION";"Những cài đặt này được áp dụng cho thành viên cấp độ cơ bản. Bắt đầu bắt cách chọn cấp độ thành viên bạn muốn tùy chình, sau đó tùy chỉnh cài đặt cho cấp độ bên dưới."
"Allow Viewing of Experiences?";"Cho phép xem bài viết?"
"Do you want to let members view experiences? If set to no, some other settings on this page may not apply.";"Bạn có muốn để thành viên xem bài viết? Nếu chọn không, vài cài đặt khác trên trang này có thể không được áp dụng."
"Yes, allow viewing of all experiences, even private ones.";"Có, Cho phép xem tất cả bài viết, cả những bài cá nhân."
"Yes, allow viewing of experiences.";"Có, cho phép xem bài viết."
"No, do not allow experiences to be viewed.";"Không, không cho phép xem bài viết."
"Allow Creation of Experiences?";"Cho phép tạo bài viết?"
"Do you want to let members create experiences? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view experiences, but only want certain levels to be able to create experiences.";"Bạn có muốn cho phép thành viên tạo bài viết? Nếu chọn không, vài cài đặt khác trên trang này sẽ không được áp dụng. Điều này khá hữu ích nếu bạn muốn những thành viên có thể xem bài viết, nhưng chỉ muốn một số cấp độ được quyền tạo bài viết."
"Yes, allow creation of experiences.";"Phải, cho phép tạo bài viết."
"No, do not allow experiences to be created.";"Không, không cho phép tạo bài viết."
"Allow Editing of Experiences?";"Cho phép định dạng bài viết?"
"Do you want to let members edit experiences? If set to no, some other settings on this page may not apply.";"Bạn có muốn để thành viên định dạng bài viết? Nếu chọn không, vài cài đặt khác trên trang này có thể không được áp dụng."
"Yes, allow members to edit all experiences.";"Có, cho phép định dạng bài viết."
"Yes, allow members to edit their own experiences.";"Có, cho phép thành viên định dạng bài viết của họ."
"No, do not allow members to edit their experiences.";"Không, không cho phép thành viên định dạng bài viết của họ."
"Allow Deletion of Experiences?";"Cho phép xóa bài viết?"
"Do you want to let members delete experiences? If set to no, some other settings on this page may not apply.";"Bạn có muốn để thành viên xóa bài viết? Nếu chọn không, vài cài đặt khác trên trang này có thể không được áp dụng."
"Yes, allow members to delete all experiences.";"Có, cho phép thành viên xóa bài viết."
"Yes, allow members to delete their own experiences.";"Có, cho phép thành viên xóa bài viết của họ."
"No, do not allow members to delete their experiences.";"Không, không cho phép thành viên xóa bài viết của họ."
"Allow Commenting on Experiences?";"Cho phép bình luận trên bài viết?"
"Do you want to let members of this level comment on experiences?";"Bạn có muốn cho phép thành viên ở cấp độ này bình luận trên bài viết?"
