"Search Forum";"Tìm kiếm diễn đàn"
"Forums Plugin";"Forums Plugin"
"Forum";"Diễn đàn"
"Forums";"Diễn đàn"
"Create Forum";"Tạo diễn đàn"
"No forums in this category.";"Không có diễn đàn trong danh mục này."
"Moderators:";"Moderators:"
"Moderator";"Moderator"
"Moderators";"Moderators"
"Last post";"Đăng lần cuối"

"view";"xem";"lượt xem"
"%1$s %2$s view";"%1$s %2$s lượt xem";"%1$s %2$s lượt xem"
"reply";"trả lời";"trả lời"
"%1$s %2$s reply";"%1$s %2$s trả lời";"%1$s %2$s trả lời"
"post";"bài đăng";"bài đăng"
"topic";"chủ đề";"chủ đề"

"By";"Bởi"
"In";"trong"
"%1$sLast post%2$s by %3$s";"%1$sĐăng lần cuối%2$s bởi %3$s"

"Post Reply";"Đăng trả lời"
"Edit Post";"Chỉnh sửa bài đăng"
"Post Topic";"Đăng chủ đề"

"Back To Topics";"Quay trả lại chủ đề"

"Make Sticky";"Tạo đánh dấu"
"Remove Sticky";"Bỏ đánh dấu"
"Close";"Đóng"
"Open";"Mở"
"Rename";"Đổi tên"
"Delete";"Xóa"

"This topic has been closed.";"Chủ đề này đã bị đóng."
"posts";"bài đăng"

"Quote";"Trích dẫn"
"Edit";"Chỉnh sửa"

"This post was edited by %1$s at %2$s";"Bài đăng được chỉnh sửa bởi %1$s vào lúc %2$s"

"Post deleted.";"Bài đăng đã xóa."
"Topic deleted.";"Chủ đề đã xóa."
"Topic renamed.";"Đổi tên chủ đề."

"Title";"Tiêu đề"
"Create";"Tạo"
"Description";"Mô tả"

"<a id=""photo-label"" href=""javascript:showUploader();"">Attach a Photo</a>";"<a id=""photo-label"" href=""javascript:showUploader();"">Đính kèm hình</a>"
"or";"hoặc"
"cancel";"hủy"

"Delete Post";"Xóa bài đăng"
"Are you sure you want to delete this post?";"Bạn có chắc muốn xóa bài đăng này?"
"Cancel";"Hủy"

"This post has a photo attached. Do you want to delete it?";"Bài đăng này có hình đính kèm. Bạn có muốn xóa nó?"
"Quick Reply";"Trả lời nhanh"
"Save Changes";"Lưu thay đổi"

"Topic Title";"Tiêu đề chủ đề"
"Delete Topic";"Xóa chủ đề"
"Are you sure you want to delete this topic?";"Bạn có chắc muốn xóa chủ đề này?"

"Rename Topic";"Đổi tên chủ đề"
"forum topic";"chủ đề diễn đàn";"chủ đề diễn đàn"

"Category Title";"Tiêu đề danh mục"
"Forum Title";"Tiêu đề diễn đàn"
"Forum Description";"Mô tả diễn đàn"
Category;Danh mục
"Member Name";"Tên thành viên"
"Delete Category";"Xóa danh mục"
"Delete Forum";"Xóa diễn đàn"
"Are you sure you want to delete this category?";"Bạn có chắc muốn xóa danh mục này?"
"These settings affect all members in your community.";"Những cài đặt này sẽ ảnh hưởng tất cả thành viên trong cộng động của bạn."
"How many posts will be shown per topic page? (Enter a number between 1 and 999";"Bao nhiêu bài đăng hiển thị trên một trang chủ đề? (Nhập 1 số giữa 1 và 999"
"Posts per topic page";"Posts per topic page"
"How topics will be shown per forum page? (Enter a number between 1 and 999";"How topics will be shown per forum page? (Enter a number between 1 and 999"
"Topics per forum page";"Topics per forum page"
"Yes, members can use BBCode tags.";"Yes, members can use BBCode tags."
"No, do not let members use BBCode.";"No, do not let members use BBCode."
"Enable BBCode";"Enable BBCode"
"Yes, members can use HTML in their posts.";"Yes, members can use HTML in their posts."
"No, strip HTML from posts.";"No, strip HTML from posts."
"Enable HTML";"Enable HTML"

"FORUM_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per
member level basis. Start by selecting the member level you want to modify,
then adjust the settings for that level below. Note that settings on this page
override the abilities granted to moderators. If you select ""No"" to an option,
even moderators will not be able to perform that action. Conversely, if you
select the ""Yes, even private ones""/""Yes, including other members'"" options,
they will be able to perform that action even if they are not a moderator."

"Allow Viewing of Forums?";"Allow Viewing of Forums?"
"FORUM_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view forums? If set to no, some other settings on this page may not apply."
"Yes, allow viewing and subscription of forums.";"Yes, allow viewing and subscription of forums."
"No, do not allow forum to be viewed or subscribed to.";"No, do not allow forum to be viewed or subscribed to."

"Allow Creation of Topics?";"Allow Creation of Topics?"
"FORUM_FORM_ADMIN_LEVEL_TOPIC_CREATE_DESCRIPTION";"Do you want to allow users to create topics in forums?"
"Yes, allow creation of topics in forums, even private ones.";"Yes, allow creation of topics in forums, even private ones."
"Yes, allow creation of topics.";"Yes, allow creation of topics."
"No, do not allow topics to be created.";"No, do not allow topics to be created."

"Allow Editing of Topics?";"Allow Editing of Topics?"
"FORUM_FORM_ADMIN_LEVEL_TOPIC_EDIT_DESCRIPTION";"Do you want to allow users to edit topics in forums?"
"Yes, allow editing of topics in forums, including other members' topics.";"Yes, allow editing of topics in forums, including other members' topics."
