"Invite";"Mời"
"Invitation Sent";"Lời mới đã được gửi";"Iời mời đã được gửi"
"If the person you invited decide to join, he/she will automatically receive a friend request from you.";"Nếu người mà bạn mời quyết định tham gia, anh ấy/cô ấy sẽ tự động nhận được yêu cầu kết bạn từ bạn.";"Nếu người mà bạn mời quyết định tham gia, anh ấy/cô ấy sẽ tự động nhận được yêu cầu kết bạn từ bạn."
"Invites were not sent to these email addresses because they do not appear to be valid:";"Lời mời không được gửi tới địa chỉ email vì chúng không đáp ứng yêu cầu:"
"Some of the email addresses you provided belong to existing members:";"Địa chỉ email bạn cung cấp thuộc về một thành viên khác:"
"OK, thanks!";"OK, cảm ơn!"

"Invite Your Friends";"Mời bạn của bạn"
"_INVITE_FORM_DESCRIPTION";"Mời bạn của bạn tham gia! có thể nhập tới 10 địa chỉ mail bằng dấu phẩy ngăn cách trong phần người nhận bên dưới. Nếu bạn của bạn quyết định đăng ký, một yêu cầu kết bạn từ bạn sẽ gửi cho họ khi họ đăng nhập lần đầu tiên."
"Recipients";"Người nhận"
"Comma-separated list, or one-email-per-line.";"dấu phẩy- phân cách danh sách, hoặc một-email-trên-một dòng."
"Custom Message";"Định dạng tin nhắn"
"Use %invite_url% to add a link to our sign up page.";"Sử dụng %invite_url% để thêm link tới trang đăng ký của behoi.com"
"Send Invites";"Gửi lời mời"

"_INVITE_EMAIL_CONTENT_CAN_BE_FOUND_IN_THE_FILE";"custom.csv"

"Modify your invite settings for your members.";"Chỉnh sửa cài đặt lời mời cho thành viên của bạn."
"Subject";"Tiêu đề"
"This is the subject line of emails sent to invited people.  Use %siteName% to include your site's name.";"Đây là dòng tiêu đề của email gửi tới người được mời.  Sử dụng %siteName% để đính kèm tên trang của bạn."
"From (name)";"Từ (name)"
"Whom the invite email is shown as being from (usually your website name)";"Whom the invite email is shown as being from (usually your website name)"
"From (email)";"Từ (email)"
"The ""Reply-To"" address for emails";"The ""Reply-To"" address for emails"
"Allow custom invite message?";"Allow custom invite message?"
"If disabled, the invite email will use the message below.";"If disabled, the invite email will use the message below."
"Default Invite Message";"Default Invite Message"
"Use %invite_url% to include the invite URL";"Use %invite_url% to include the invite URL"

"Invite Settings";"Invite Settings"
"Settings were saved successfully.";"Settings were saved successfully."

"Inviters";"Người mời"
"Movers and Shakers";"Movers and Shakers"
"Top 10 Inviters";"Top 10 người mời"
"Most invites sent out";"Most invites sent out"

"Username";"Tên đăng nhập"
"Invites";"Thư mời"
"Recruits";"Recruits"
"Conversion Ratio";"Conversion Ratio"

"Top 10 Recruiters";"Top 10 Recruiters"
"Most members that joined from their invites";"Most members that joined from their invites"


# mail templates

# invite
"_EMAIL_INVITE_TITLE";"Thư mời"
"_EMAIL_INVITE_DESCRIPTION";"Bạn nhận email này khi mà thành viên mời bạn của họ tham gia trong quá trình đăng ký."
"_EMAIL_INVITE_SUBJECT";"Bạn nhận được thư mời để tham gia vào mạng kết nối của chúng tôi."
"_EMAIL_INVITE_BODY";"[Tiêu đề]

Bạn được mời bởi [sender_title] để tham gia vào mạng kết nối của chúng tôi. Để tham gia, vui lòng click đường link dưới đây:

http://[host][object_link]

----------------------------------------
[message]
----------------------------------------

[footer]"

# invite_code
"_EMAIL_INVITE_CODE_TITLE";"Mã thư mời"
"_EMAIL_INVITE_CODE_DESCRIPTION";"Email này được gửi tới những người mà khi họ được mời bởi một thành viên và mã thư mời được yêu cầu."
"_EMAIL_INVITE_CODE_SUBJECT";"Bạn đã nhận được thư mời để tham gia vào mạng kết nối của chúng tôi!"
"_EMAIL_INVITE_CODE_BODY";"[header]

Bạn được mời bởi [sender_title] để tham gia vào mạng kết nối của chúng tôi. Để tham gia, vui lòng click đường link dưới đây:

http://[host][object_link]

----------------------------------------
[message]
----------------------------------------

[footer]"

"You are being invited to join our social network.";"Bạn đang được mời để tham gia vào mạng xã hội của chúng tôi."

