"Questions and Answers";"Questions and Answers"
"Questions & Answers";"Q&A"
"Save Changes";"Save Changes"
"Settings saved";"Settings saved"
"question";"question";"questions"
"answer";"answer";"answers"
"Nobody has written a question entry with that criteria.";"Nobody has written a question entry with that criteria."
"ADMIN_ACTIVITY_TYPE_QUESTION_NEW";"New question."
"ADMIN_ACTIVITY_TYPE_ANSWER_NEW";"New answer."
"ADMIN_ACTIVITY_TYPE_CHOOSE_BEST";"Choose best answer."
"ACTIVITY_TYPE_ANSWER_NEW";"Somebody has answered your question."
"ACTIVITY_TYPE_CHOOSE_BEST";"Best answer has been chosen."
"You must login in order to post an answer.";"You must login in order to post an answer."
"Question is closed.";"Question is closed."
"Question is canceled.";"Question is canceled."
"You can not answer on your own question.";"You can not answer on your own question."
"You can't leave more than %d answers to one question.";"You can't leave more than %d answers to one question."
"_ACTIVITY_ACTIONTYPE_ANSWER_NEW";"New answer to a question."
"_ACTIVITY_ACTIONTYPE_CHOOSE_BEST";"Best answer is chosen."
"_ACTIVITY_ACTIONTYPE_QUESTION_NEW";"New question."
"ITEM_TYPE_QUESTION";"Q&A"
"_ACTIVITY_ACTIONTYPE_COMMENT_ANSWER";"Comments on your answers"
"_ACTIVITY_ACTIONTYPE_ANSWER_NEW_A_A";"When somebody answered the question anonymously"
"_ACTIVITY_ACTIONTYPE_ANSWER_NEW_A_Q";"When somebody answered anonymous question anonymously"
"_ACTIVITY_ACTIONTYPE_ANSWER_NEW_Q_A";"When somebody answered an anonymous question"
"ADMIN_ACTIVITY_TYPE_ANSWER_NEW_A_A";"When a user answered the question anonymously"
"ADMIN_ACTIVITY_TYPE_ANSWER_NEW_A_Q";"When a user answered anonymous question anonymously"
"ADMIN_ACTIVITY_TYPE_ANSWER_NEW_Q_A";"When a user answered an anonymous question"
"Nobody has written a question entry yet.";"Nobody has written a question entry yet."
"Be the first to %1$swrite%2$s one!";"Be the first to %1$swrite%2$s one!"
"You have not asked a single question yet.";"You have not asked a single question yet."
"%1$s Create %2$s a new one!";"%1$s Create %2$s a new one!"
"Refresh Ratings";"Refresh Ratings"
"No ratings are available yet.";"No ratings are available yet."
"Browse All";"Browse All"
"My Questions";"My Questions"
"Ratings";"Ratings"
"Ask a Question";"Ask a Question"
"Nobody has posted a questions in this category yet. Be the first to %1$spost%2$s one!";"Nobody has posted a questions in this category yet. Be the first to %1$spost%2$s one!"
"Be the first to %1$s write %2$s one!";"Be the first to %1$s write %2$s one!"
"Value is required and can't be empty";"Please complete this field - it is required."
"No answers yet. Be the first to post an answer!";"No answers yet. Be the first to post an answer!"
