"User";"Người dùng"
"profile";"Hồ sơ cá nhân"

"Post";"Bài đăng"

"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"Nếu bạn đã có tài khoản, hãy nhập thông tin bên dưới. Nếu chưa tạo tài khoản, hãy <a href='%s'>đăng ký</a> trước nhé!"
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Quên mật khẩu?</a></span>"

"Block Member";"Block thành viên"
"Do you want to block this member?";"Bạn có muốn block thành viên này?"
"Cancel";"Hủy"

"Unblock Member";"Unblock thành viên"
"Do you want to unblock this member?";"Bạn muốn unblock thành viên này?"

"Make Profile Photo";"Làm hình đại diện"
"Do you want to make this photo your profile photo?";"Bạn muốn chọn hình này làm hình đại diện?"
"Save";"Lưu"

"Edit Member Profile";"Chỉnh sửa hồ sơ cá nhân"
"%1$s's Profile";"Hồ sơ của %1$s "
"Current Photo";"Hình ảnh hiện tại"
"Choose New Photo";"Chọn hình mới"
"Save Photo";"Lưu"
"Profile Photos";"Hình đại diện"
"Remove Photo";"Xóa hình"
"remove photo";"xóa hình"
"Do you want to remove your profile photo?  Doing so will set your photo back to the default photo.";"Bạn muốn xóa hình đại diện? Hình đại diện sẽ chuyển thành hình ảnh mặc định sau đó!"

"Profile Style";"Kiểu hồ sơ"
"Add your own CSS code above to give your profile a more personalized look.";"Thêm đoạn code CSS trên để giúp hồ sơ cá nhân của bạn thêm đặc biệt hơn!"
"Save Styles";"Lưu"

"Add Friend";"Kết bạn"
"Would you like to add this member as a friend?";"Bạn có muốn kết bạn với thành viên này?"

"Cancel Friend Request";"Hủy yêu cầu kết bạn"
"Do you want to cancel your friend request?";"Bạn có muốn hủy yêu cầu kết bạn?"
"Cancel Request";"Hủy bỏ"

"Confirm Friend";"Xác nhận kết bạn"
"Would you like to confirm this member as a friend?";"Bạn có vui lòng xác nhận kết bạn với thành viên này?"

"Reject Friend";"Từ chối kết bạn"
"Would you like to reject this member as a friend?";"Bạn có muốn từ chối kết bạn với thành viên này?"

"Remove Friend";"Xóa bạn"
"Are you sure you want to remove this member as a friend?";"Bạn có chắc muốn xóa người bạn này?"

"Delete Account";"Xóa tài khoản"
"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Bạn có chắc xóa tài khoản này? Tất cả nội dung bạn đã đăng tải sẽ bị xóa vĩnh viễn. Bạn sẽ đăng xuất ngay lập tức và không thể đăng nhập bằng tài khoản này nữa!"
"Yes, Delete My Account";"Đồng ý, xóa tài khoản!"
"This is the last super admin account. Please reconsider before deleting this account.";"Đây là lần xác nhận cuối. Bạn hãy cân nhắc khi xóa tài khoản này!"

"My Settings";"Cài đặt"
"General";"Tổng quát"
"Notifications";"Thông báo"
