"YNFORUM_FORM_ADMIN_LEVEL_EVENT_CREATE_DESCRIPTION";"Do you want to allow user to create events in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_EVENT_EDIT_DESCRIPTION";"Do you want to allow user to edit events in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_EVENT_DELETE_DESCRIPTION";"Do you want to allow user to delete events in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_GROUP_CREATE_DESCRIPTION";"Do you want to allow user to create groups in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_GROUP_EDIT_DESCRIPTION";"Do you want to allow user to edit groups in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_GROUP_DELETE_DESCRIPTION";"Do you want to allow user to delete groups in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_POLL_CREATE_DESCRIPTION";"Do you want to allow user to create polls in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_POLL_EDIT_DESCRIPTION";"Do you want to allow user to edit polls in forum?"
"YNFORUM_FORM_ADMIN_LEVEL_POLL_DELETE_DESCRIPTION";"Do you want to allow user to delete polls in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_ANNOUNCEMENT_CREATE_DESCRIPTION";"Do you want to allow user to create announcements in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_ANNOUNCEMENT_EDIT_DESCRIPTION";"Do you want to allow user to edit announcements in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_ANNOUNCEMENT_DELETE_DESCRIPTION";"Do you want to allow user to delte announcements in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_ANNOUNCEMENT_HIGHLIGHT_DESCRIPTION";"Do you want to allow user to highlight announcements in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_EDITING_OTHER_EVENT_DESCRIPTION";"Do you want to allow user to edit of other members' events in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_DELETING_OTHER_EVENT_DESCRIPTION";"Do you want to allow user to delete of other members' events in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_EVENT_HIGHLIGHT_DESCRIPTION";"Do you want to allow user to highlight events in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_EDITING_OTHER_GROUP_DESCRIPTION";"Do you want to allow user to edit of other members' groups in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_DELETING_OTHER_GROUP_DESCRIPTION";"Do you want to allow user to delete of other members' groups in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_GROUP_HIGHLIGHT_DESCRIPTION";"Do you want to allow user to highlight groups in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_EDITING_OTHER_POLL_DESCRIPTION";"Do you want to allow user to edit of other members' polls in forum?"
"YNFORUM_FORM_ADMIN_ALLOW_DELETING_OTHER_POLL_DESCRIPTION";"Do you want to allow user to delete of other members' polls in forum?"
