"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_CHANGE_RELATIONSHIP";"When someone has just changed a relationship."
"%s member";"%s member";"%s members"
"liked";"liked"
"Add review for %s";"Add review for %s"
"Title of the review";"Title of the review"
"Review";"Review"
"Search members..";"Search members.."
"is a mutual friend";"is a mutual friend"
"%s other";"%s other";"%s others"
"%s review found";"%s review found";"%s reviews found"
"for";"for"
"Least Rated";"Least Rated"
"Most Helpful";"Most Helpful"
"Most Reply";"Most Reply"
"Delete Review?";"Delete Review?"
"View Review Detail";"View Review Detail"
"View review";"View review"
"Delete Review";"Delete Review"
"Sent suggestion successfully.";"Sent suggestion successfully."
"Edit review for %s";"Edit review for %s"
"Does %s know any of your friends?";"Does %s know any of your friends?"
"Suggest Friend";"Suggest Friend"
"Cover Photo";"Cover Photo"
"sent suggestion successfully";"sent suggestion successfully"
"{item:$subject} likes {item:$object:$label}.";"{item:$subject} likes {item:$object:$label}."
"{item:$subject} has post a {var:$text} of {item:$object:$label}.";"{item:$subject} has post a {var:$text} of {item:$object:$label}."
"{item:$subject} has just suggested {item:$object} to you.";"{item:$subject} has just suggested {item:$object} to you."

"{item:$subject} has shared {item:$object:$label}.";"{item:$subject} has shared {item:$object:$label}."
"{item:$subject} has posted something on activity feed.";"{item:$subject} has posted something on activity feed."
"{item:$subject} has posted something on {item:$object}''s profile.";"{item:$subject} has posted something on {item:$object}''s profile."
"{item:$subject} has join {var:$type} {item:$object}.";"{item:$subject} has join {var:$type} {item:$object}."
"{item:$subject} is now friend with {item:$object}.";"{item:$subject} is now friend with {item:$object}."
"{item:$subject} has created a new {var:$type} {item:$object}.";"{item:$subject} has created a new {var:$type} {item:$object}."




"Members";"Members"
"YouNet Advanced Member Plugin";"YouNet Advanced Member Plugin"
"YNMEMBER_GLOBAL_SETTINGS_DESCRIPTION";"General settings of Advanced Member plugins. These settings affect all members in your community."
"YNMEMBER_SETTINGS_LEVEL_DESCRIPTION";"These settings applied per member level basis. If certain actions are not allowed for certain member level, users of said member level aren't able to perform them. Start by selecting member level you want to modify, then adjust the settings for that level below according to your preferences."
"YNMEMBER_GET_NOTIFICATION_PRIVACY";"<a href='javascript:void(0);' title='
1. Create new item of Blog, Event, Group, Video (both basic and advanced module)
2. Join/attend Group/Event (both basic and advanced module)
3. All actions on members (add friend/rate member, etc...)
4. Like/comment an item
'>Who can get notification for some of my actions?</a>"
"YNMEMBER_GET_NOTIFICATION";"Your members can choose from any of the options checked below when they decide who can get notification for their actions. These options appears on your members \"Privacy\" page. If you do not check any options, everyone will be allowed to get notification"
"%s member liked";"%s member liked";"%s members liked"
"%s member wanted to get notification";"%s member wanted to get notification";"%s members wanted to get notification"
"Set featured successfully!";"Set featured successfully!"
"Unset featured successfully!";"Unset featured successfully!"
"Can not set featured this user";"Can not set featured this user"
"Set member of day successfully!";"Set member of day successfully!"
"Can not set member of day for this user";"Can not set member of day for this user"
"Status Deleted.";"Status Deleted."
"Status Added.";"Status Added."
"Status Edited.";"Status Edited."
"Invalid request method";"Invalid request method"
"Invalid data";"Invalid data"
"Comment deleted";"Comment deleted"
"Like added";"Like added"
"Like removed";"Like removed"
"Work place added.";"Work place added."
"WorkPlace deleted.";"WorkPlace deleted."
"Living place added.";"Living place added."
"Living Place deleted.";"Living Place deleted."
"Edit cover photo successfully.";"Edit cover photo successfully."
"No member specified";"No member specified"
"You do not have permission to get notification";"You do not have permission to get notification"
"No action taken";"No action taken"
"Apply setting successfully.";"Apply setting successfully."
"Like added successfully!";"Like added successfully!"
"Unliked Successfully!";"Unliked Successfully!"
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."
"Shared This Member Successfully!";"Shared This Member Successfully!"
"Sent suggestion successfully.";"Sent suggestion successfully."
"This review is not existed.";"This review is not existed."
"Rating";"Rating"
"Reviews";"Reviews"
"Featured";"Featured"
